material,codigo,conteo_jefe,observacion
Tornillería,MP-0157,-17263,sobra
Vidrio,MP-0014,10741,ok
Correderas,MP-0415,695,pedir ya
Lámina,MP-0020,-4890,pedir ya
Tornillería,MP-0061,792,faltante??
Tubería,MP-0302,582,sobra
Correderas,MP-0153,-5678,faltante??
Tornillería,MP-0076,-11640,revisar
Pintura,MP-0162,-790,faltante??
Tubería,MP-0183,552,
Pintura,MP-0374,313,sobra
Correderas,MP-0347,556,faltante??
Vidrio,MP-0175,268,revisar
Tubería,MP-0145,2748,ok
Tornillería,MP-0282,605,
Vidrio,MP-0394,444,revisar
Tornillería,MP-0055,1948,
Tubería,MP-0209,274,faltante??
Correderas,MP-0017,35541,
Empaque,MP-0236,509,ok
Vidrio,MP-0043,-4263,sobra
Pintura,MP-0284,521,ok
Pintura,MP-0071,-6164,faltante??
Tubería,MP-0275,256,
Correderas,MP-0201,410,sobra
Adhesivos,MP-0300,441,ok
Correderas,MP-0276,286,revisar
Empaque,MP-0299,-8785,pedir ya
Empaque,MP-0041,570,ok
Lámina,MP-0156,493,ok
Correderas,MP-0045,-1058,revisar
Tornillería,MP-0184,415,revisar
Vidrio,MP-0234,353,sobra
Adhesivos,MP-0168,235,
Vidrio,MP-0231,392,faltante??
Adhesivos,MP-0148,806,revisar
Tornillería,MP-0264,277,sobra
Pintura,MP-0117,-6307,ok
Adhesivos,MP-0257,536,faltante??
Adhesivos,MP-0241,437,revisar
Vidrio,MP-0249,410,
Pintura,MP-0087,3607,pedir ya
Pintura,MP-0116,-3381,pedir ya
Empaque,MP-0029,18440,
Correderas,MP-0335,260,ok
Tornillería,MP-0260,540,
Lámina,MP-0319,318,
Correderas,MP-0021,7847,
Lámina,MP-0048,2744,
Tubería,MP-0317,705,sobra
Correderas,MP-0051,-15629,revisar
Pintura,MP-0273,-10650,pedir ya
Adhesivos,MP-0416,660,faltante??
Vidrio,MP-0137,-4573,revisar
Pintura,MP-0224,660,revisar
Tornillería,MP-0380,410,
Correderas,MP-0008,-11281,sobra
Adhesivos,MP-0206,635,ok
Tornillería,MP-0197,-9392,sobra
Correderas,MP-0193,-5762,revisar
Pintura,MP-0046,1961,revisar
Pintura,MP-0078,-9285,pedir ya
Vidrio,MP-0261,406,ok
Adhesivos,MP-0002,21815,revisar
Tubería,MP-0064,1264,pedir ya
Pintura,MP-0256,252,
Empaque,MP-0311,672,
Adhesivos,MP-0023,36510,revisar
Empaque,MP-0186,557,pedir ya
Empaque,MP-0229,-12572,faltante??
Tornillería,MP-0131,-801,pedir ya
Empaque,MP-0242,484,revisar
Adhesivos,MP-0038,8071,ok
Empaque,MP-0073,-10059,ok
Adhesivos,MP-0389,339,faltante??
Correderas,MP-0369,-12324,ok
Pintura,MP-0100,2053,ok
Vidrio,MP-0286,552,sobra
Adhesivos,MP-0382,193,
Pintura,MP-0037,-1838,
Lámina,MP-0200,424,revisar
Tornillería,MP-0334,292,pedir ya
Tornillería,MP-0248,272,pedir ya
Pintura,MP-0083,1078,ok
Tornillería,MP-0082,902,revisar
Tubería,MP-0359,369,revisar
Pintura,MP-0285,469,revisar
Adhesivos,MP-0323,267,ok
Tubería,MP-0316,463,
Tornillería,MP-0297,473,ok
Tornillería,MP-0185,363,faltante??
Adhesivos,MP-0245,504,faltante??
Pintura,MP-0143,-9041,
Adhesivos,MP-0350,445,faltante??
Adhesivos,MP-0096,1009,
Tubería,MP-0325,-6501,revisar
Lámina,MP-0324,525,
Pintura,MP-0202,-11819,ok
Correderas,MP-0304,641,revisar
Empaque,MP-0365,350,faltante??
Lámina,MP-0305,452,sobra
Empaque,MP-0397,375,faltante??
Correderas,MP-0054,1906,sobra
Vidrio,MP-0329,424,sobra
Tubería,MP-0371,280,revisar
Correderas,MP-0357,-9001,revisar
Tornillería,MP-0321,-4908,faltante??
Correderas,MP-0129,-7344,faltante??
Pintura,MP-0218,438,
Empaque,MP-0277,564,faltante??
Lámina,MP-0254,-11613,sobra
Adhesivos,MP-0065,1226,revisar
Pintura,MP-0266,386,sobra
Correderas,MP-0179,619,
Tubería,MP-0352,262,sobra
Lámina,MP-0281,258,ok
Correderas,MP-0090,2456,pedir ya
Lámina,MP-0132,-9189,sobra
Vidrio,MP-0312,495,sobra
Vidrio,MP-0268,-3148,sobra
