producto,nombre_producto,sku_material,cantidad_por_unidad,unidad
PT-ESC-STD,Escritorio estándar,MP-0019,5.65,m2
PT-ESC-STD,Escritorio estándar,MP-0022,6.21,par
PT-ESC-STD,Escritorio estándar,MP-0094,5.42,LÁMINA
PT-ESC-STD,Escritorio estándar,MP-0074,5.63,UNIDAD
PT-ESC-STD,Escritorio estándar,MP-0370,1.82,m
PT-ESC-STD,Escritorio estándar,MP-0299,7.04,unidad
PT-ESC-STD,Escritorio estándar,MP-0309,6.39,m
PT-ESC-STD,Escritorio estándar,MP-0418,5.93,kg
PT-ESC-EJE,Escritorio ejecutivo,MP-0008,1.77,par
PT-ESC-EJE,Escritorio ejecutivo,MP-0005,3.85,kg
PT-ESC-EJE,Escritorio ejecutivo,MP-0133,7.51,unidad
PT-ESC-EJE,Escritorio ejecutivo,MP-0101,6.6,par
PT-ESC-EJE,Escritorio ejecutivo,MP-0149,4.35,M
PT-ESC-EJE,Escritorio ejecutivo,MP-0189,5.34,lámina
PT-ESC-EJE,Escritorio ejecutivo,MP-0254,7.77,lámina
PT-ESC-EJE,Escritorio ejecutivo,MP-0161,2.9,par
PT-ESC-EJE,Escritorio ejecutivo,MP-0197,7.03,unidad
PT-ESC-L,Escritorio en L,MP-0037,6.19,kg
PT-ESC-L,Escritorio en L,MP-0018,1.03,kg
PT-ESC-L,Escritorio en L,MP-0137,5.19,m2
PT-ESC-L,Escritorio en L,MP-0073,7.48,unidad
PT-ESC-L,Escritorio en L,MP-0118,6.72,m2
PT-ESC-L,Escritorio en L,MP-0199,6.36,UNIDAD
PT-ESC-L,Escritorio en L,MP-0232,5.69,m
PT-ESC-GER,Escritorio gerencial,MP-0027,1.12,KG
PT-ESC-GER,Escritorio gerencial,MP-0022,1.69,par
PT-ESC-GER,Escritorio gerencial,MP-0149,6.99,m
PT-ESC-GER,Escritorio gerencial,MP-0116,3.37,kg
PT-ESC-GER,Escritorio gerencial,MP-0108,3.98,KG
PT-ESC-GER,Escritorio gerencial,MP-0293,5.92,LÁMINA
PT-ESC-GER,Escritorio gerencial,MP-0239,2.81,kg
PT-ARCH-4G,Archivador 4 gavetas,MP-0016,5.87,kg
PT-ARCH-4G,Archivador 4 gavetas,MP-0030,1.16,par
PT-ARCH-4G,Archivador 4 gavetas,MP-0120,5.55,kg
PT-ARCH-4G,Archivador 4 gavetas,MP-0043,3.21,m2
