producto,sku_material,cantidad_por_unidad,unidad,id_bom
PT-ESC-STD,MP-0019,5.65,m2,PT-ESC-STD_MP-0019
PT-ESC-STD,MP-0022,6.21,par,PT-ESC-STD_MP-0022
PT-ESC-STD,MP-0094,5.42,lámina,PT-ESC-STD_MP-0094
PT-ESC-STD,MP-0074,5.63,unidad,PT-ESC-STD_MP-0074
PT-ESC-STD,MP-0370,1.82,m,PT-ESC-STD_MP-0370
PT-ESC-STD,MP-0299,7.04,unidad,PT-ESC-STD_MP-0299
PT-ESC-STD,MP-0309,6.39,m,PT-ESC-STD_MP-0309
PT-ESC-STD,MP-0418,5.93,kg,PT-ESC-STD_MP-0418
PT-ESC-EJE,MP-0008,1.77,par,PT-ESC-EJE_MP-0008
PT-ESC-EJE,MP-0005,3.85,kg,PT-ESC-EJE_MP-0005
PT-ESC-EJE,MP-0133,7.51,unidad,PT-ESC-EJE_MP-0133
PT-ESC-EJE,MP-0101,6.6,par,PT-ESC-EJE_MP-0101
PT-ESC-EJE,MP-0149,4.35,m,PT-ESC-EJE_MP-0149
PT-ESC-EJE,MP-0189,5.34,lámina,PT-ESC-EJE_MP-0189
PT-ESC-EJE,MP-0254,7.77,lámina,PT-ESC-EJE_MP-0254
PT-ESC-EJE,MP-0161,2.9,par,PT-ESC-EJE_MP-0161
PT-ESC-EJE,MP-0197,7.03,unidad,PT-ESC-EJE_MP-0197
PT-ESC-L,MP-0037,6.19,kg,PT-ESC-L_MP-0037
PT-ESC-L,MP-0018,1.03,kg,PT-ESC-L_MP-0018
PT-ESC-L,MP-0137,5.19,m2,PT-ESC-L_MP-0137
PT-ESC-L,MP-0073,7.48,unidad,PT-ESC-L_MP-0073
PT-ESC-L,MP-0118,6.72,m2,PT-ESC-L_MP-0118
PT-ESC-L,MP-0199,6.36,unidad,PT-ESC-L_MP-0199
PT-ESC-L,MP-0232,5.69,m,PT-ESC-L_MP-0232
PT-ESC-GER,MP-0027,1.12,kg,PT-ESC-GER_MP-0027
PT-ESC-GER,MP-0022,1.69,par,PT-ESC-GER_MP-0022
PT-ESC-GER,MP-0149,6.99,m,PT-ESC-GER_MP-0149
PT-ESC-GER,MP-0116,3.37,kg,PT-ESC-GER_MP-0116
PT-ESC-GER,MP-0108,3.98,kg,PT-ESC-GER_MP-0108
PT-ESC-GER,MP-0293,5.92,lámina,PT-ESC-GER_MP-0293
PT-ESC-GER,MP-0239,2.81,kg,PT-ESC-GER_MP-0239
PT-ARCH-4G,MP-0016,5.87,kg,PT-ARCH-4G_MP-0016
PT-ARCH-4G,MP-0030,1.16,par,PT-ARCH-4G_MP-0030
PT-ARCH-4G,MP-0120,5.55,kg,PT-ARCH-4G_MP-0120
PT-ARCH-4G,MP-0043,3.21,m2,PT-ARCH-4G_MP-0043
PT-ARCH-4G,MP-0182,4.35,m2,PT-ARCH-4G_MP-0182
PT-ARCH-4G,MP-0369,6.46,par,PT-ARCH-4G_MP-0369
PT-ARCH-4G,MP-0157,3.35,unidad,PT-ARCH-4G_MP-0157
PT-ARCH-2G,MP-0001,7.47,kg,PT-ARCH-2G_MP-0001
PT-ARCH-2G,MP-0014,6.07,m2,PT-ARCH-2G_MP-0014
PT-ARCH-2G,MP-0108,0.78,kg,PT-ARCH-2G_MP-0108
PT-ARCH-2G,MP-0128,4.43,kg,PT-ARCH-2G_MP-0128
PT-ARCH-2G,MP-0047,3.21,par,PT-ARCH-2G_MP-0047
PT-ARCH-2G,MP-0244,3.62,kg,PT-ARCH-2G_MP-0244
PT-ARCH-2G,MP-0182,4.72,m2,PT-ARCH-2G_MP-0182
PT-ARCH-ROD,MP-0008,4.7,par,PT-ARCH-ROD_MP-0008
PT-ARCH-ROD,MP-0016,3.76,kg,PT-ARCH-ROD_MP-0016
PT-ARCH-ROD,MP-0122,4.68,kg,PT-ARCH-ROD_MP-0122
PT-ARCH-ROD,MP-0132,7.76,lámina,PT-ARCH-ROD_MP-0132
PT-ARCH-ROD,MP-0131,2.87,unidad,PT-ARCH-ROD_MP-0131
PT-ARCH-ROD,MP-0216,6.0,unidad,PT-ARCH-ROD_MP-0216
PT-ARCH-ROD,MP-0272,0.76,par,PT-ARCH-ROD_MP-0272
PT-EST-5N,MP-0010,6.39,kg,PT-EST-5N_MP-0010
PT-EST-5N,MP-0002,3.63,kg,PT-EST-5N_MP-0002
PT-EST-5N,MP-0150,5.08,par,PT-EST-5N_MP-0150
PT-EST-5N,MP-0085,2.48,unidad,PT-EST-5N_MP-0085
PT-EST-5N,MP-0202,7.79,kg,PT-EST-5N_MP-0202
PT-EST-5N,MP-0153,3.58,par,PT-EST-5N_MP-0153
PT-EST-5N,MP-0178,1.69,m2,PT-EST-5N_MP-0178
PT-EST-5N,MP-0229,7.98,unidad,PT-EST-5N_MP-0229
PT-EST-3N,MP-0013,4.97,kg,PT-EST-3N_MP-0013
PT-EST-3N,MP-0020,2.78,lámina,PT-EST-3N_MP-0020
PT-EST-3N,MP-0106,3.27,par,PT-EST-3N_MP-0106
PT-EST-3N,MP-0051,5.48,par,PT-EST-3N_MP-0051
PT-EST-3N,MP-0411,4.93,par,PT-EST-3N_MP-0411
PT-EST-3N,MP-0238,4.64,kg,PT-EST-3N_MP-0238
PT-EST-IND,MP-0004,4.55,m2,PT-EST-IND_MP-0004
PT-EST-IND,MP-0033,4.02,kg,PT-EST-IND_MP-0033
PT-EST-IND,MP-0128,6.46,kg,PT-EST-IND_MP-0128
PT-EST-IND,MP-0051,5.55,par,PT-EST-IND_MP-0051
PT-EST-IND,MP-0045,2.55,par,PT-EST-IND_MP-0045
PT-EST-IND,MP-0386,5.64,par,PT-EST-IND_MP-0386
PT-EST-IND,MP-0393,1.81,unidad,PT-EST-IND_MP-0393
PT-EST-IND,MP-0373,7.29,unidad,PT-EST-IND_MP-0373
PT-SIL-OPE,MP-0015,4.13,unidad,PT-SIL-OPE_MP-0015
PT-SIL-OPE,MP-0012,6.26,m,PT-SIL-OPE_MP-0012
PT-SIL-OPE,MP-0142,6.29,lámina,PT-SIL-OPE_MP-0142
PT-SIL-OPE,MP-0102,7.67,m2,PT-SIL-OPE_MP-0102
PT-SIL-OPE,MP-0114,1.83,unidad,PT-SIL-OPE_MP-0114
PT-SIL-OPE,MP-0325,4.93,m,PT-SIL-OPE_MP-0325
PT-SIL-OPE,MP-0193,4.44,par,PT-SIL-OPE_MP-0193
PT-SIL-OPE,MP-0157,7.98,unidad,PT-SIL-OPE_MP-0157
PT-SIL-OPE,MP-0330,2.05,unidad,PT-SIL-OPE_MP-0330
PT-SIL-INT,MP-0024,5.24,m2,PT-SIL-INT_MP-0024
PT-SIL-INT,MP-0020,5.05,lámina,PT-SIL-INT_MP-0020
PT-SIL-INT,MP-0117,6.22,kg,PT-SIL-INT_MP-0117
PT-SIL-INT,MP-0060,5.56,par,PT-SIL-INT_MP-0060
PT-SIL-INT,MP-0357,6.84,par,PT-SIL-INT_MP-0357
PT-SIL-INT,MP-0162,1.05,kg,PT-SIL-INT_MP-0162
PT-SIL-GER,MP-0009,5.15,unidad,PT-SIL-GER_MP-0009
PT-SIL-GER,MP-0024,7.09,m2,PT-SIL-GER_MP-0024
PT-SIL-GER,MP-0076,7.12,unidad,PT-SIL-GER_MP-0076
PT-SIL-GER,MP-0077,7.5,m,PT-SIL-GER_MP-0077
PT-SIL-GER,MP-0273,8.0,kg,PT-SIL-GER_MP-0273
PT-SIL-GER,MP-0373,4.64,unidad,PT-SIL-GER_MP-0373
PT-MOD-REC,MP-0026,4.43,unidad,PT-MOD-REC_MP-0026
PT-MOD-REC,MP-0024,0.9,m2,PT-MOD-REC_MP-0024
PT-MOD-REC,MP-0111,6.81,kg,PT-MOD-REC_MP-0111
PT-MOD-REC,MP-0071,5.4,kg,PT-MOD-REC_MP-0071
PT-MOD-REC,MP-0388,5.2,par,PT-MOD-REC_MP-0388
PT-MOD-REC,MP-0227,3.12,m2,PT-MOD-REC_MP-0227
PT-MOD-CAL,MP-0005,2.94,kg,PT-MOD-CAL_MP-0005
PT-MOD-CAL,MP-0008,3.53,par,PT-MOD-CAL_MP-0008
PT-MOD-CAL,MP-0085,3.86,unidad,PT-MOD-CAL_MP-0085
PT-MOD-CAL,MP-0088,6.43,m2,PT-MOD-CAL_MP-0088
PT-MOD-CAL,MP-0143,7.19,kg,PT-MOD-CAL_MP-0143
PT-MOD-CAL,MP-0181,6.04,kg,PT-MOD-CAL_MP-0181
PT-MOD-CAL,MP-0385,1.77,m,PT-MOD-CAL_MP-0385
PT-MOD-CAL,MP-0321,3.26,unidad,PT-MOD-CAL_MP-0321
PT-MOD-CAL,MP-0343,7.24,par,PT-MOD-CAL_MP-0343
PT-LOCK-12,MP-0036,3.06,m,PT-LOCK-12_MP-0036
PT-LOCK-12,MP-0019,2.11,m2,PT-LOCK-12_MP-0019
PT-LOCK-12,MP-0080,3.38,kg,PT-LOCK-12_MP-0080
PT-LOCK-12,MP-0139,6.23,lámina,PT-LOCK-12_MP-0139
PT-LOCK-12,MP-0356,3.99,unidad,PT-LOCK-12_MP-0356
PT-LOCK-12,MP-0339,1.33,kg,PT-LOCK-12_MP-0339
PT-MESA-JUN,MP-0022,3.54,par,PT-MESA-JUN_MP-0022
PT-MESA-JUN,MP-0008,0.97,par,PT-MESA-JUN_MP-0008
PT-MESA-JUN,MP-0078,7.48,kg,PT-MESA-JUN_MP-0078
PT-MESA-JUN,MP-0059,4.61,lámina,PT-MESA-JUN_MP-0059
PT-MESA-JUN,MP-0108,2.19,kg,PT-MESA-JUN_MP-0108
PT-MESA-JUN,MP-0211,3.61,unidad,PT-MESA-JUN_MP-0211
PT-MESA-JUN,MP-0340,3.61,m2,PT-MESA-JUN_MP-0340
PT-MESA-JUN,MP-0390,2.59,unidad,PT-MESA-JUN_MP-0390
PT-MESA-JUN,MP-0268,2.37,m2,PT-MESA-JUN_MP-0268
PT-BIB-MET,MP-0039,0.95,m,PT-BIB-MET_MP-0039
PT-BIB-MET,MP-0032,1.86,kg,PT-BIB-MET_MP-0032
PT-BIB-MET,MP-0129,6.3,par,PT-BIB-MET_MP-0129
PT-BIB-MET,MP-0136,5.42,m,PT-BIB-MET_MP-0136
PT-BIB-MET,MP-0217,4.78,kg,PT-BIB-MET_MP-0217
PT-BIB-MET,MP-0344,7.93,unidad,PT-BIB-MET_MP-0344
