sku,stock_fisico_contado,fecha_conteo
MP-0001,7783,2026-03-31
MP-0002,19257,2026-03-31
MP-0003,4629,2026-03-31
MP-0004,3229,2026-03-31
MP-0005,9902,2026-03-31
MP-0006,5090,2026-03-31
MP-0007,5133,2026-03-31
MP-0008,10995,2026-03-31
MP-0009,12257,2026-03-31
MP-0010,12903,2026-03-31
MP-0011,24581,2026-03-31
MP-0012,5091,2026-03-31
MP-0013,660,2026-03-31
MP-0014,11404,2026-03-31
MP-0015,5,2026-03-31
MP-0016,6382,2026-03-31
MP-0017,33033,2026-03-31
MP-0018,23824,2026-03-31
MP-0019,7415,2026-03-31
MP-0020,5310,2026-03-31
MP-0021,9168,2026-03-31
MP-0022,7158,2026-03-31
MP-0023,31781,2026-03-31
MP-0024,6069,2026-03-31
MP-0025,7670,2026-03-31
MP-0026,3993,2026-03-31
MP-0027,2790,2026-03-31
MP-0028,4288,2026-03-31
MP-0029,16351,2026-03-31
MP-0030,37350,2026-03-31
MP-0031,4815,2026-03-31
MP-0032,41404,2026-03-31
MP-0033,30588,2026-03-31
MP-0034,16647,2026-03-31
MP-0035,25386,2026-03-31
MP-0036,898,2026-03-31
MP-0037,2094,2026-03-31
MP-0038,8337,2026-03-31
MP-0039,6311,2026-03-31
MP-0040,22979,2026-03-31
MP-0041,557,2026-03-31
MP-0042,1394,2026-03-31
MP-0043,4391,2026-03-31
MP-0044,3800,2026-03-31
MP-0045,996,2026-03-31
MP-0046,1789,2026-03-31
MP-0047,3761,2026-03-31
MP-0048,2596,2026-03-31
MP-0049,678,2026-03-31
MP-0050,4473,2026-03-31
MP-0051,15501,2026-03-31
MP-0052,439,2026-03-31
MP-0053,1981,2026-03-31
MP-0054,2214,2026-03-31
MP-0055,2170,2026-03-31
MP-0056,1013,2026-03-31
MP-0057,4182,2026-03-31
MP-0058,3670,2026-03-31
MP-0059,3855,2026-03-31
MP-0060,6160,2026-03-31
MP-0061,802,2026-03-31
MP-0062,1402,2026-03-31
MP-0063,814,2026-03-31
MP-0064,1358,2026-03-31
