sku,descripcion,categoria,unidad,costo_unitario,proveedor,lead_time_declarado_dias,stock_min,stock_max
MP-0311,Empaque calibre/ref 20,Empaque,unidad,4693,PROV-26,8,100,500
MP-0219,Correderas calibre/ref 28,Correderas,par,7896,PROV-25,10,100,500
MP-0338,Empaque calibre/ref 33,Empaque,unidad,4061,PROV-30,15,100,500
MP-0167,Correderas calibre/ref 34,Correderas,par,13015,PROV-33,16,100,500
MP-0125,Tubería calibre/ref 6,Tubería,m,76778,PROV-12,6,100,500
MP-0276,Correderas calibre/ref 16,Correderas,par,1815,PROV-06,7,100,500
MP-0280,Vidrio calibre/ref 36,Vidrio,m2,2504,PROV-10,5,100,500
MP-0145,Tubería calibre/ref 22,Tubería,m,22774,PROV-30,7,100,500
MP-0142,Lámina calibre/ref 21,Lámina,lámina,34292,PROV-26,14,100,500
MP-0206,Adhesivos calibre/ref 17,Adhesivos,kg,13367,PROV-25,32,100,500
MP-0294,Lámina calibre/ref 23,Lámina,lámina,3954,PROV-26,7,100,500
MP-0188,Vidrio calibre/ref 28,Vidrio,m2,1200,PROV-23,6,100,500
MP-0195,Pintura calibre/ref 34,Pintura,kg,6770,PROV-21,17,100,500
MP-0324,Lámina calibre/ref 24,Lámina,lámina,14311,PROV-08,18,100,500
MP-0402,Tubería calibre/ref 14,Tubería,m,7198,PROV-04,7,100,500
MP-0268,Vidrio calibre/ref 22,Vidrio,m2,12459,PROV-17,13,100,500
MP-0065,Adhesivos calibre/ref 1,Adhesivos,kg,35988,PROV-13,11,100,500
MP-0367,Tornillería calibre/ref 14,Tornillería,unidad,13259,PROV-23,7,100,500
MP-0366,Pintura calibre/ref 22,Pintura,kg,8061,PROV-19,12,100,500
MP-0292,Tornillería calibre/ref 5,Tornillería,unidad,12482,PROV-31,24,100,500
MP-0012,Tubería calibre/ref 22,Tubería,m,260365,PROV-29,14,100,500
MP-0208,Adhesivos calibre/ref 8,Adhesivos,kg,8505,PROV-11,14,100,500
MP-90289,Adhesivos (dup),Adhesivos,kg,11160,PROV-30,13,100,500
MP-0185,Tornillería calibre/ref 6,Tornillería,unidad,12045,PROV-23,15,100,500
MP-0132,Lámina calibre/ref 4,Lámina,lámina,32995,PROV-09,25,100,500
MP-0337,Tornillería calibre/ref 1,Tornillería,unidad,3350,PROV-13,5,100,500
MP-0360,Tubería calibre/ref 25,Tubería,m,2148,PROV-20,6,100,500
MP-0389,Adhesivos calibre/ref 16,Adhesivos,kg,2311,PROV-17,5,100,500
MP-0322,Empaque calibre/ref 22,Empaque,unidad,8687,PROV-03,10,100,500
MP-0193,Correderas calibre/ref 15,Correderas,par,2415,PROV-32,10,100,500
MP-0365,Empaque calibre/ref 30,Empaque,unidad,1744,PROV-15,6,100,500
MP-0109,Correderas calibre/ref 18,Correderas,par,60010,PROV-19,11,100,500
MP-0410,Tubería calibre/ref 5,Tubería,m,4345,PROV-21,13,100,500
MP-0387,Tubería calibre/ref 15,Tubería,m,10078,PROV-22,6,100,500
MP-0203,Adhesivos calibre/ref 22,Adhesivos,kg,13450,PROV-19,17,100,500
MP-0110,Correderas calibre/ref 37,Correderas,par,70066,PROV-26,8,100,500
MP-0340,Vidrio calibre/ref 34,Vidrio,m2,2769,PROV-05,17,100,500
MP-0353,Correderas calibre/ref 25,Correderas,par,10667,PROV-10,15,100,500
MP-0278,Empaque calibre/ref 8,Empaque,unidad,631,PROV-16,14,100,500
MP-0187,Adhesivos calibre/ref 6,Adhesivos,kg,11831,PROV-21,10,100,500
MP-0308,Tubería calibre/ref 29,Tubería,m,8450,PROV-34,6,100,500
MP-0097,Vidrio calibre/ref 31,Vidrio,m2,56581,PROV-30,10,100,500
MP-0181,Pintura calibre/ref 37,Pintura,kg,3549,PROV-10,9,100,500
MP-0281,Lámina calibre/ref 27,Lámina,lámina,7868,PROV-05,11,100,500
MP-0243,Vidrio calibre/ref 37,Vidrio,m2,7117,PROV-20,8,100,500
MP-0328,Empaque calibre/ref 17,Empaque,unidad,11117,PROV-26,11,100,500
MP-0306,Lámina calibre/ref 22,Lámina,lámina,6945,PROV-35,29,100,500
MP-0207,Tubería calibre/ref 11,Tubería,m,1443,PROV-07,5,100,500
MP-0144,Adhesivos calibre/ref 17,Adhesivos,kg,49362,PROV-02,10,100,500
MP-0030,Correderas calibre/ref 5,Correderas,par,284982,PROV-27,16,100,500
MP-0200,Lámina calibre/ref 30,Lámina,lámina,13801,PROV-11,12,100,500
MP-0226,Adhesivos calibre/ref 13,Adhesivos,kg,7832,PROV-27,16,100,500
MP-0379,Lámina calibre/ref 14,Lámina,lámina,12817,PROV-32,8,100,500
MP-0098,Empaque calibre/ref 2,Empaque,unidad,16242,PROV-18,5,100,500
MP-0156,Lámina calibre/ref 37,Lámina,lámina,13196,PROV-35,6,100,500
MP-0157,Tornillería calibre/ref 30,Tornillería,unidad,2791,PROV-12,6,100,500
MP-0080,Adhesivos calibre/ref 18,Adhesivos,kg,39838,PROV-24,10,100,500
MP-0238,Pintura calibre/ref 4,Pintura,kg,12403,PROV-15,10,100,500
MP-0164,Vidrio calibre/ref 14,Vidrio,m2,1846,PROV-10,9,100,500
MP-0053,Tubería calibre/ref 22,Tubería,m,21843,PROV-21,12,100,500
MP-0368,Pintura calibre/ref 4,Pintura,kg,9888,PROV-19,22,100,500
MP-0210,Empaque calibre/ref 29,Empaque,unidad,7603,PROV-03,6,100,500
MP-0171,Tornillería calibre/ref 28,Tornillería,unidad,3672,PROV-13,12,100,500
MP-0176,Tubería calibre/ref 37,Tubería,m,579,PROV-23,5,100,500
MP-0325,Tubería calibre/ref 8,Tubería,m,431,PROV-22,14,100,500
MP-0257,Adhesivos calibre/ref 13,Adhesivos,kg,3868,PROV-03,16,100,500
MP-0332,Vidrio calibre/ref 35,Vidrio,m2,6819,PROV-07,16,100,500
MP-0027,Pintura calibre/ref 17,Pintura,kg,179174,PROV-27,16,100,500
MP-0393,Empaque calibre/ref 3,Empaque,unidad,9553,PROV-11,9,100,500
MP-0135,Tubería calibre/ref 34,Tubería,m,25279,PROV-01,5,100,500
MP-0417,Correderas calibre/ref 3,Correderas,par,13045,PROV-06,11,100,500
MP-0094,Lámina calibre/ref 36,Lámina,lámina,40900,PROV-11,12,100,500
MP-0348,Correderas calibre/ref 6,Correderas,par,9374,PROV-31,5,100,500
MP-0170,Tornillería calibre/ref 22,Tornillería,unidad,4382,PROV-13,17,100,500
MP-0103,Pintura calibre/ref 2,Pintura,kg,50643,PROV-09,8,100,500
MP-0192,Tornillería calibre/ref 24,Tornillería,unidad,10044,PROV-01,10,100,500
MP-0380,Tornillería calibre/ref 4,Tornillería,unidad,13527,PROV-07,10,100,500
MP-0197,Tornillería calibre/ref 25,Tornillería,unidad,3935,PROV-06,7,100,500
MP-0134,Correderas calibre/ref 36,Correderas,par,64521,PROV-25,12,100,500
MP-0198,Pintura calibre/ref 7,Pintura,kg,13940,PROV-26,17,100,500
MP-0077,Tubería calibre/ref 26,Tubería,m,66191,PROV-34,17,100,500
MP-0112,Adhesivos calibre/ref 5,Adhesivos,kg,23398,PROV-20,11,100,500
MP-0024,Vidrio calibre/ref 33,Vidrio,m2,223650,PROV-31,20,100,500
MP-0296,Adhesivos calibre/ref 1,Adhesivos,kg,10190,PROV-11,10,100,500
MP-0010,Pintura calibre/ref 33,Pintura,kg,244981,PROV-24,20,100,500
