periodo,producto,cantidad_planeada,cantidad_real
2024-07-01,PT-ESC-STD,34,35
2024-07-01,PT-ESC-EJE,114,122
2024-07-01,PT-ESC-L,77,78
2024-07-01,PT-ESC-GER,68,60
2024-07-01,PT-ARCH-4G,50,44
2024-07-01,PT-ARCH-2G,24,24
2024-07-01,PT-ARCH-ROD,80,76
2024-07-01,PT-EST-5N,71,60
2024-07-01,PT-EST-3N,96,100
2024-07-01,PT-EST-IND,81,83
2024-07-01,PT-SIL-OPE,43,44
2024-07-01,PT-SIL-INT,43,40
2024-07-01,PT-SIL-GER,57,59
2024-07-01,PT-MOD-REC,104,109
2024-07-01,PT-MOD-CAL,64,68
2024-07-01,PT-LOCK-12,104,96
2024-07-01,PT-MESA-JUN,47,48
2024-07-01,PT-BIB-MET,53,54
2024-08-01,PT-ESC-STD,96,88
2024-08-01,PT-ESC-EJE,99,86
2024-08-01,PT-ESC-L,120,116
2024-08-01,PT-ESC-GER,68,69
2024-08-01,PT-ARCH-4G,120,126
2024-08-01,PT-ARCH-2G,39,39
2024-08-01,PT-ARCH-ROD,33,28
2024-08-01,PT-EST-5N,54,48
2024-08-01,PT-EST-3N,30,27
2024-08-01,PT-EST-IND,96,88
2024-08-01,PT-SIL-OPE,37,34
2024-08-01,PT-SIL-INT,111,95
2024-08-01,PT-SIL-GER,61,55
2024-08-01,PT-MOD-REC,62,62
2024-08-01,PT-MOD-CAL,112,109
2024-08-01,PT-LOCK-12,75,82
2024-08-01,PT-MESA-JUN,114,120
2024-08-01,PT-BIB-MET,53,51
2024-09-01,PT-ESC-STD,114,98
2024-09-01,PT-ESC-EJE,102,102
2024-09-01,PT-ESC-L,29,29
2024-09-01,PT-ESC-GER,55,58
2024-09-01,PT-ARCH-4G,60,63
2024-09-01,PT-ARCH-2G,47,45
2024-09-01,PT-ARCH-ROD,76,69
2024-09-01,PT-EST-5N,87,93
2024-09-01,PT-EST-3N,55,47
2024-09-01,PT-EST-IND,60,56
2024-09-01,PT-SIL-OPE,69,63
2024-09-01,PT-SIL-INT,45,39
2024-09-01,PT-SIL-GER,94,97
2024-09-01,PT-MOD-REC,23,24
2024-09-01,PT-MOD-CAL,88,80
2024-09-01,PT-LOCK-12,98,100
2024-09-01,PT-MESA-JUN,25,21
2024-09-01,PT-BIB-MET,75,79
2024-10-01,PT-ESC-STD,106,111
2024-10-01,PT-ESC-EJE,83,89
2024-10-01,PT-ESC-L,88,85
2024-10-01,PT-ESC-GER,47,44
2024-10-01,PT-ARCH-4G,81,86
2024-10-01,PT-ARCH-2G,34,32
2024-10-01,PT-ARCH-ROD,92,78
2024-10-01,PT-EST-5N,25,25
2024-10-01,PT-EST-3N,95,104
2024-10-01,PT-EST-IND,69,75
2024-10-01,PT-SIL-OPE,30,30
2024-10-01,PT-SIL-INT,55,49
2024-10-01,PT-SIL-GER,116,120
2024-10-01,PT-MOD-REC,120,111
2024-10-01,PT-MOD-CAL,60,58
2024-10-01,PT-LOCK-12,96,89
2024-10-01,PT-MESA-JUN,87,81
2024-10-01,PT-BIB-MET,20,20
2024-11-01,PT-ESC-STD,59,50
2024-11-01,PT-ESC-EJE,115,125
2024-11-01,PT-ESC-L,57,50
2024-11-01,PT-ESC-GER,36,35
2024-11-01,PT-ARCH-4G,84,79
2024-11-01,PT-ARCH-2G,117,103
2024-11-01,PT-ARCH-ROD,97,85
2024-11-01,PT-EST-5N,96,86
2024-11-01,PT-EST-3N,112,103
2024-11-01,PT-EST-IND,22,21
2024-11-01,PT-SIL-OPE,92,85
2024-11-01,PT-SIL-INT,55,60
2024-11-01,PT-SIL-GER,41,36
2024-11-01,PT-MOD-REC,78,67
2024-11-01,PT-MOD-CAL,111,117
2024-11-01,PT-LOCK-12,85,82
2024-11-01,PT-MESA-JUN,100,109
2024-11-01,PT-BIB-MET,88,95
2024-12-01,PT-ESC-STD,80,77
2024-12-01,PT-ESC-EJE,110,118
2024-12-01,PT-ESC-L,102,108
2024-12-01,PT-ESC-GER,38,35
2024-12-01,PT-ARCH-4G,26,23
2024-12-01,PT-ARCH-2G,82,80
2024-12-01,PT-ARCH-ROD,82,78
2024-12-01,PT-EST-5N,91,97
2024-12-01,PT-EST-3N,118,109
2024-12-01,PT-EST-IND,40,38
2024-12-01,PT-SIL-OPE,87,76
2024-12-01,PT-SIL-INT,27,27
2024-12-01,PT-SIL-GER,35,35
2024-12-01,PT-MOD-REC,96,94
2024-12-01,PT-MOD-CAL,39,35
2024-12-01,PT-LOCK-12,51,55
2024-12-01,PT-MESA-JUN,41,40
2024-12-01,PT-BIB-MET,84,76
2025-01-01,PT-ESC-STD,73,67
2025-01-01,PT-ESC-EJE,86,81
2025-01-01,PT-ESC-L,42,46
2025-01-01,PT-ESC-GER,109,115
2025-01-01,PT-ARCH-4G,75,65
2025-01-01,PT-ARCH-2G,53,53
2025-01-01,PT-ARCH-ROD,119,117
2025-01-01,PT-EST-5N,117,125
2025-01-01,PT-EST-3N,114,100
2025-01-01,PT-EST-IND,36,35
2025-01-01,PT-SIL-OPE,100,87
2025-01-01,PT-SIL-INT,43,46
2025-01-01,PT-SIL-GER,115,113
2025-01-01,PT-MOD-REC,47,42
2025-01-01,PT-MOD-CAL,95,93
2025-01-01,PT-LOCK-12,23,21
2025-01-01,PT-MESA-JUN,75,79
2025-01-01,PT-BIB-MET,69,69
2025-02-01,PT-ESC-STD,20,20
2025-02-01,PT-ESC-EJE,26,24
2025-02-01,PT-ESC-L,87,95
2025-02-01,PT-ESC-GER,70,63
2025-02-01,PT-ARCH-4G,62,60
2025-02-01,PT-ARCH-2G,114,98
2025-02-01,PT-ARCH-ROD,89,97
2025-02-01,PT-EST-5N,100,85
2025-02-01,PT-EST-3N,69,74
2025-02-01,PT-EST-IND,82,83
2025-02-01,PT-SIL-OPE,113,105
2025-02-01,PT-SIL-INT,116,125
2025-02-01,PT-SIL-GER,113,101
2025-02-01,PT-MOD-REC,70,70
