periodo,producto,nombre_producto,cantidad_planeada,cantidad_real
2024-07-01,PT-ESC-STD,Escritorio estándar,34,35
2024-07-01,PT-ESC-EJE,Escritorio ejecutivo,114,122
2024-07-01,PT-ESC-L,Escritorio en L,77,78
2024-07-01,PT-ESC-GER,Escritorio gerencial,68,60
2024-07-01,PT-ARCH-4G,Archivador 4 gavetas,50,44
2024-07-01,PT-ARCH-2G,Archivador 2 gavetas,24,24
2024-07-01,PT-ARCH-ROD,Archivador rodante,80,76
2024-07-01,PT-EST-5N,Estantería 5 niveles,71,60
2024-07-01,PT-EST-3N,Estantería 3 niveles,96,100
2024-07-01,PT-EST-IND,Estantería industrial,81,83
2024-07-01,PT-SIL-OPE,Silla operativa,43,44
2024-07-01,PT-SIL-INT,Silla interlocutora,43,40
2024-07-01,PT-SIL-GER,Silla gerencial,57,59
2024-07-01,PT-MOD-REC,Módulo recepción,104,109
2024-07-01,PT-MOD-CAL,Módulo call center,64,68
2024-07-01,PT-LOCK-12,Lockers 12 puertas,104,96
2024-07-01,PT-MESA-JUN,Mesa de juntas,47,48
2024-07-01,PT-BIB-MET,Biblioteca metálica,53,54
2024-08-01,PT-ESC-STD,Escritorio estándar,96,88
2024-08-01,PT-ESC-EJE,Escritorio ejecutivo,99,86
2024-08-01,PT-ESC-L,Escritorio en L,120,116
2024-08-01,PT-ESC-GER,Escritorio gerencial,68,69
2024-08-01,PT-ARCH-4G,Archivador 4 gavetas,120,126
2024-08-01,PT-ARCH-2G,Archivador 2 gavetas,39,39
2024-08-01,PT-ARCH-ROD,Archivador rodante,33,28
2024-08-01,PT-EST-5N,Estantería 5 niveles,54,48
2024-08-01,PT-EST-3N,Estantería 3 niveles,30,27
2024-08-01,PT-EST-IND,Estantería industrial,96,88
2024-08-01,PT-SIL-OPE,Silla operativa,37,34
2024-08-01,PT-SIL-INT,Silla interlocutora,111,95
2024-08-01,PT-SIL-GER,Silla gerencial,61,55
2024-08-01,PT-MOD-REC,Módulo recepción,62,62
2024-08-01,PT-MOD-CAL,Módulo call center,112,109
2024-08-01,PT-LOCK-12,Lockers 12 puertas,75,82
2024-08-01,PT-MESA-JUN,Mesa de juntas,114,120
2024-08-01,PT-BIB-MET,Biblioteca metálica,53,51
2024-09-01,PT-ESC-STD,Escritorio estándar,114,98
2024-09-01,PT-ESC-EJE,Escritorio ejecutivo,102,102
2024-09-01,PT-ESC-L,Escritorio en L,29,29
2024-09-01,PT-ESC-GER,Escritorio gerencial,55,58
2024-09-01,PT-ARCH-4G,Archivador 4 gavetas,60,63
2024-09-01,PT-ARCH-2G,Archivador 2 gavetas,47,45
2024-09-01,PT-ARCH-ROD,Archivador rodante,76,69
2024-09-01,PT-EST-5N,Estantería 5 niveles,87,93
2024-09-01,PT-EST-3N,Estantería 3 niveles,55,47
2024-09-01,PT-EST-IND,Estantería industrial,60,56
2024-09-01,PT-SIL-OPE,Silla operativa,69,63
2024-09-01,PT-SIL-INT,Silla interlocutora,45,39
2024-09-01,PT-SIL-GER,Silla gerencial,94,97
2024-09-01,PT-MOD-REC,Módulo recepción,23,24
2024-09-01,PT-MOD-CAL,Módulo call center,88,80
2024-09-01,PT-LOCK-12,Lockers 12 puertas,98,100
2024-09-01,PT-MESA-JUN,Mesa de juntas,25,21
2024-09-01,PT-BIB-MET,Biblioteca metálica,75,79
2024-10-01,PT-ESC-STD,Escritorio estándar,106,111
2024-10-01,PT-ESC-EJE,Escritorio ejecutivo,83,89
2024-10-01,PT-ESC-L,Escritorio en L,88,85
2024-10-01,PT-ESC-GER,Escritorio gerencial,47,44
2024-10-01,PT-ARCH-4G,Archivador 4 gavetas,81,86
2024-10-01,PT-ARCH-2G,Archivador 2 gavetas,34,32
2024-10-01,PT-ARCH-ROD,Archivador rodante,92,78
2024-10-01,PT-EST-5N,Estantería 5 niveles,25,25
2024-10-01,PT-EST-3N,Estantería 3 niveles,95,104
2024-10-01,PT-EST-IND,Estantería industrial,69,75
2024-10-01,PT-SIL-OPE,Silla operativa,30,30
2024-10-01,PT-SIL-INT,Silla interlocutora,55,49
2024-10-01,PT-SIL-GER,Silla gerencial,116,120
2024-10-01,PT-MOD-REC,Módulo recepción,120,111
2024-10-01,PT-MOD-CAL,Módulo call center,60,58
2024-10-01,PT-LOCK-12,Lockers 12 puertas,96,89
2024-10-01,PT-MESA-JUN,Mesa de juntas,87,81
2024-10-01,PT-BIB-MET,Biblioteca metálica,20,20
2024-11-01,PT-ESC-STD,Escritorio estándar,59,50
2024-11-01,PT-ESC-EJE,Escritorio ejecutivo,115,125
2024-11-01,PT-ESC-L,Escritorio en L,57,50
2024-11-01,PT-ESC-GER,Escritorio gerencial,36,35
2024-11-01,PT-ARCH-4G,Archivador 4 gavetas,84,79
2024-11-01,PT-ARCH-2G,Archivador 2 gavetas,117,103
2024-11-01,PT-ARCH-ROD,Archivador rodante,97,85
2024-11-01,PT-EST-5N,Estantería 5 niveles,96,86
2024-11-01,PT-EST-3N,Estantería 3 niveles,112,103
2024-11-01,PT-EST-IND,Estantería industrial,22,21
2024-11-01,PT-SIL-OPE,Silla operativa,92,85
2024-11-01,PT-SIL-INT,Silla interlocutora,55,60
2024-11-01,PT-SIL-GER,Silla gerencial,41,36
2024-11-01,PT-MOD-REC,Módulo recepción,78,67
2024-11-01,PT-MOD-CAL,Módulo call center,111,117
2024-11-01,PT-LOCK-12,Lockers 12 puertas,85,82
2024-11-01,PT-MESA-JUN,Mesa de juntas,100,109
2024-11-01,PT-BIB-MET,Biblioteca metálica,88,95
2024-12-01,PT-ESC-STD,Escritorio estándar,80,77
2024-12-01,PT-ESC-EJE,Escritorio ejecutivo,110,118
2024-12-01,PT-ESC-L,Escritorio en L,102,108
2024-12-01,PT-ESC-GER,Escritorio gerencial,38,35
2024-12-01,PT-ARCH-4G,Archivador 4 gavetas,26,23
2024-12-01,PT-ARCH-2G,Archivador 2 gavetas,82,80
2024-12-01,PT-ARCH-ROD,Archivador rodante,82,78
2024-12-01,PT-EST-5N,Estantería 5 niveles,91,97
2024-12-01,PT-EST-3N,Estantería 3 niveles,118,109
2024-12-01,PT-EST-IND,Estantería industrial,40,38
2024-12-01,PT-SIL-OPE,Silla operativa,87,76
2024-12-01,PT-SIL-INT,Silla interlocutora,27,27
