producto,nombre_producto
PT-ARCH-2G,Archivador 2 gavetas
PT-ARCH-4G,Archivador 4 gavetas
PT-ARCH-ROD,Archivador rodante
PT-BIB-MET,Biblioteca metálica
PT-ESC-EJE,Escritorio ejecutivo
PT-ESC-GER,Escritorio gerencial
PT-ESC-L,Escritorio en L
PT-ESC-STD,Escritorio estándar
PT-EST-3N,Estantería 3 niveles
PT-EST-5N,Estantería 5 niveles
PT-EST-IND,Estantería industrial
PT-LOCK-12,Lockers 12 puertas
PT-MESA-JUN,Mesa de juntas
PT-MOD-CAL,Módulo call center
PT-MOD-REC,Módulo recepción
PT-SIL-GER,Silla gerencial
PT-SIL-INT,Silla interlocutora
PT-SIL-OPE,Silla operativa
