sku,stock_inicial,fecha
MP-0001,472,2024-07-01
MP-0002,419,2024-07-01
MP-0003,307,2024-07-01
MP-0004,200,2024-07-01
MP-0005,277,2024-07-01
MP-0006,527,2024-07-01
MP-0007,202,2024-07-01
MP-0008,242,2024-07-01
MP-0009,225,2024-07-01
MP-0010,427,2024-07-01
MP-0011,221,2024-07-01
MP-0012,497,2024-07-01
MP-0013,279,2024-07-01
MP-0014,514,2024-07-01
MP-0015,492,2024-07-01
MP-0016,250,2024-07-01
MP-0017,521,2024-07-01
MP-0018,252,2024-07-01
MP-0019,445,2024-07-01
MP-0020,593,2024-07-01
MP-0021,239,2024-07-01
MP-0022,226,2024-07-01
MP-0023,477,2024-07-01
MP-0024,265,2024-07-01
MP-0025,497,2024-07-01
MP-0026,449,2024-07-01
MP-0027,259,2024-07-01
MP-0028,594,2024-07-01
MP-0029,449,2024-07-01
MP-0030,510,2024-07-01
MP-0031,446,2024-07-01
MP-0032,224,2024-07-01
MP-0033,247,2024-07-01
MP-0034,410,2024-07-01
MP-0035,217,2024-07-01
MP-0036,420,2024-07-01
MP-0037,246,2024-07-01
MP-0038,595,2024-07-01
MP-0039,374,2024-07-01
MP-0040,438,2024-07-01
MP-0041,305,2024-07-01
MP-0042,269,2024-07-01
MP-0043,287,2024-07-01
MP-0044,530,2024-07-01
MP-0045,267,2024-07-01
MP-0046,319,2024-07-01
MP-0047,302,2024-07-01
MP-0048,368,2024-07-01
MP-0049,555,2024-07-01
MP-0050,238,2024-07-01
MP-0051,247,2024-07-01
MP-0052,351,2024-07-01
MP-0053,514,2024-07-01
MP-0054,569,2024-07-01
MP-0055,435,2024-07-01
MP-0056,227,2024-07-01
MP-0057,564,2024-07-01
MP-0058,533,2024-07-01
MP-0059,487,2024-07-01
MP-0060,572,2024-07-01
MP-0061,243,2024-07-01
MP-0062,240,2024-07-01
MP-0063,477,2024-07-01
MP-0064,589,2024-07-01
MP-0065,421,2024-07-01
MP-0066,507,2024-07-01
MP-0067,536,2024-07-01
MP-0068,553,2024-07-01
MP-0069,229,2024-07-01
MP-0070,317,2024-07-01
MP-0071,542,2024-07-01
MP-0072,430,2024-07-01
MP-0073,489,2024-07-01
MP-0074,487,2024-07-01
MP-0075,399,2024-07-01
MP-0076,334,2024-07-01
MP-0077,576,2024-07-01
MP-0078,395,2024-07-01
MP-0079,523,2024-07-01
MP-0080,282,2024-07-01
MP-0081,300,2024-07-01
MP-0082,573,2024-07-01
MP-0083,492,2024-07-01
MP-0084,283,2024-07-01
MP-0085,375,2024-07-01
MP-0086,572,2024-07-01
MP-0087,216,2024-07-01
MP-0088,421,2024-07-01
MP-0089,327,2024-07-01
MP-0090,556,2024-07-01
MP-0091,585,2024-07-01
MP-0092,467,2024-07-01
MP-0093,547,2024-07-01
MP-0094,242,2024-07-01
MP-0095,332,2024-07-01
MP-0096,451,2024-07-01
MP-0097,412,2024-07-01
MP-0098,412,2024-07-01
MP-0099,321,2024-07-01
MP-0100,238,2024-07-01
MP-0101,373,2024-07-01
MP-0102,218,2024-07-01
MP-0103,447,2024-07-01
MP-0104,334,2024-07-01
MP-0105,491,2024-07-01
MP-0106,584,2024-07-01
MP-0107,461,2024-07-01
MP-0108,226,2024-07-01
MP-0109,233,2024-07-01
MP-0110,242,2024-07-01
MP-0111,478,2024-07-01
MP-0112,524,2024-07-01
MP-0113,262,2024-07-01
MP-0114,258,2024-07-01
MP-0115,600,2024-07-01
MP-0116,427,2024-07-01
MP-0117,487,2024-07-01
MP-0118,473,2024-07-01
MP-0119,576,2024-07-01
MP-0120,474,2024-07-01
MP-0121,421,2024-07-01
MP-0122,448,2024-07-01
MP-0123,508,2024-07-01
MP-0124,289,2024-07-01
MP-0125,441,2024-07-01
MP-0126,306,2024-07-01
MP-0127,465,2024-07-01
MP-0128,502,2024-07-01
MP-0129,593,2024-07-01
MP-0130,520,2024-07-01
MP-0131,200,2024-07-01
MP-0132,595,2024-07-01
MP-0133,448,2024-07-01
MP-0134,532,2024-07-01
MP-0135,456,2024-07-01
MP-0136,481,2024-07-01
MP-0137,396,2024-07-01
MP-0138,469,2024-07-01
MP-0139,233,2024-07-01
MP-0140,340,2024-07-01
MP-0141,450,2024-07-01
MP-0142,496,2024-07-01
MP-0143,594,2024-07-01
MP-0144,287,2024-07-01
