sku,descripcion,categoria,unidad,costo_unitario,proveedor,lead_time_declarado_dias,stock_min,stock_max
MP-0311,Empaque calibre/ref 20,empaque,unidad,4693,PROV-26,8,100,500
MP-0219,Correderas calibre/ref 28,Correderas,par,7896,PROV-25,10,100,500
MP-0338,Empaque calibre/ref 33,Empaque,unidad,4061,PROV-30,15,100,500
MP-0167,Correderas calibre/ref 34,Correderas,par,13015,PROV-33,,100,500
MP-0125,Tubería calibre/ref 6,TUBERIA,m,76778,PROV-12,6,100,500
MP-0276,Correderas calibre/ref 16,correderas,par,1815,PROV-06,7,100,500
MP-0280,Vidrio calibre/ref 36,Vidrio,m2,2504,PROV-10,5,100,500
MP-0145,Tubería calibre/ref 22,tuberia,m,22774,PROV-30,7,100,500
MP-0142,Lámina calibre/ref 21,LAMINA AC,lámina,34292,PROV-26,14,100,500
MP-0206,Adhesivos calibre/ref 17,Adhesivos,kg,13367,PROV-25,,100,500
MP-0294,Lámina calibre/ref 23,Lámina,lámina,3954,PROV-26,7,100,500
MP-0188,Vidrio calibre/ref 28,vidrio,m2,1200,PROV-23,6,100,500
MP-0195,Pintura calibre/ref 34,pintura electrostatica,kg,6770,PROV-21,17,100,500
MP-0324,Lámina calibre/ref 24,Lámina,lámina,14311,PROV-08,18,100,500
MP-0402,Tubería calibre/ref 14,TUBERIA,m,7198,PROV-04,7,100,500
MP-0268,Vidrio calibre/ref 22,vidrio,m2,12459,PROV-17,,100,500
MP-0065,Adhesivos calibre/ref 1,Adhesivos,kg,35988,PROV-13,11,100,500
MP-0367,Tornillería calibre/ref 14,Torn.,unidad,13259,PROV-23,7,100,500
MP-0366,Pintura calibre/ref 22,PINTURA,kg,8061,PROV-19,12,100,500
MP-0292,Tornillería calibre/ref 5,Tornillería,unidad,12482,PROV-31,,100,500
MP-0012,Tubería calibre/ref 22,TUBERIA,m,260365,PROV-29,14,100,500
MP-0208,Adhesivos calibre/ref 8,PEGANTE,kg,8505,PROV-11,14,100,500
MP-90289,Adhesivos (dup),PEGANTE,kg,11160,PROV-30,13,100,500
MP-0185,Tornillería calibre/ref 6,Torn.,unidad,12045,PROV-23,,100,500
MP-0132,Lámina calibre/ref 4,Lámina,lámina,32995,PROV-09,,100,500
MP-0337,Tornillería calibre/ref 1,Tornillería,unidad,3350,PROV-13,5,100,500
MP-0360,Tubería calibre/ref 25,TUBERIA,m,2148,PROV-20,6,100,500
MP-0389,Adhesivos calibre/ref 16,Adhesivos,kg,2311,PROV-17,5,100,500
MP-0322,Empaque calibre/ref 22,empaque,unidad,8687,PROV-03,10,100,500
MP-0193,Correderas calibre/ref 15,Correderas,par,2415,PROV-32,10,100,500
MP-0365,Empaque calibre/ref 30,empaque,unidad,1744,PROV-15,6,100,500
MP-0109,Correderas calibre/ref 18,correderas,par,60010,PROV-19,11,100,500
MP-0410,Tubería calibre/ref 5,tuberia,m,4345,PROV-21,13,100,500
MP-0387,Tubería calibre/ref 15,tuberia,m,10078,PROV-22,6,100,500
MP-0203,Adhesivos calibre/ref 22,adhesivo,kg,13450,PROV-19,,100,500
MP-0110,Correderas calibre/ref 37,Correderas,par,70066,PROV-26,8,100,500
MP-0340,Vidrio calibre/ref 34,vidrio,m2,2769,PROV-05,,100,500
MP-0353,Correderas calibre/ref 25,CORREDERA,par,10667,PROV-10,15,100,500
MP-0278,Empaque calibre/ref 8,empaque,unidad,631,PROV-16,14,100,500
MP-0187,Adhesivos calibre/ref 6,adhesivo,kg,11831,PROV-21,10,100,500
MP-0308,Tubería calibre/ref 29,TUBERIA,m,8450,PROV-34,6,100,500
MP-0097,Vidrio calibre/ref 31,vidrio,m2,56581,PROV-30,10,100,500
MP-0181,Pintura calibre/ref 37,PINTURA,kg,3549,PROV-10,,100,500
MP-0281,Lámina calibre/ref 27,Lamina de acero,lámina,7868,PROV-05,11,100,500
MP-0243,Vidrio calibre/ref 37,Vidrio,m2,7117,PROV-20,8,100,500
MP-0328,Empaque calibre/ref 17,empaque,unidad,11117,PROV-26,11,100,500
MP-0306,Lámina calibre/ref 22,LAMINA AC,lámina,6945,PROV-35,,100,500
MP-0207,Tubería calibre/ref 11,TUBERIA,m,1443,PROV-07,5,100,500
MP-0144,Adhesivos calibre/ref 17,Adhesivos,kg,49362,PROV-02,10,100,500
MP-0030,Correderas calibre/ref 5,correderas,par,284982,PROV-27,16,100,500
MP-0200,Lámina calibre/ref 30,lamina,lámina,13801,PROV-11,12,100,500
MP-0226,Adhesivos calibre/ref 13,adhesivo,kg,7832,PROV-27,,100,500
MP-0379,Lámina calibre/ref 14,Lamina de acero,lámina,12817,PROV-32,8,100,500
MP-0098,Empaque calibre/ref 2,Empaque,unidad,16242,PROV-18,5,100,500
MP-0156,Lámina calibre/ref 37,LAMINA AC,lámina,13196,PROV-35,6,100,500
MP-0157,Tornillería calibre/ref 30,Torn.,unidad,2791,PROV-12,6,100,500
MP-0080,Adhesivos calibre/ref 18,PEGANTE,kg,39838,PROV-24,10,100,500
MP-0238,Pintura calibre/ref 4,pintura electrostatica,kg,12403,PROV-15,,100,500
MP-0164,Vidrio calibre/ref 14,Vidrio,m2,1846,PROV-10,9,100,500
MP-0053,Tubería calibre/ref 22,Tubería,m,21843,PROV-21,12,100,500
MP-0368,Pintura calibre/ref 4,PINTURA,kg,9888,PROV-19,,100,500
MP-0210,Empaque calibre/ref 29,EMPAQUES,unidad,7603,PROV-03,,100,500
MP-0171,Tornillería calibre/ref 28,tornilleria,unidad,3672,PROV-13,12,100,500
MP-0176,Tubería calibre/ref 37,TUBERIA,m,579,PROV-23,5,100,500
MP-0325,Tubería calibre/ref 8,Tubería,m,431,PROV-22,14,100,500
MP-0257,Adhesivos calibre/ref 13,PEGANTE,kg,3868,PROV-03,16,100,500
MP-0332,Vidrio calibre/ref 35,Vidrio,m2,6819,PROV-07,16,100,500
MP-0027,Pintura calibre/ref 17,PINTURA,kg,179174,PROV-27,16,100,500
MP-0393,Empaque calibre/ref 3,Empaque,unidad,9553,PROV-11,9,100,500
MP-0135,Tubería calibre/ref 34,tuberia,m,25279,PROV-01,5,100,500
MP-0417,Correderas calibre/ref 3,Correderas,par,13045,PROV-06,,100,500
MP-0094,Lámina calibre/ref 36,Lamina de acero,lámina,40900,PROV-11,12,100,500
MP-0348,Correderas calibre/ref 6,correderas,par,9374,PROV-31,5,100,500
MP-0170,Tornillería calibre/ref 22,tornilleria,unidad,4382,PROV-13,17,100,500
MP-0103,Pintura calibre/ref 2,pintura electrostatica,kg,50643,PROV-09,8,100,500
MP-0192,Tornillería calibre/ref 24,Tornillería,unidad,10044,PROV-01,10,100,500
MP-0380,Tornillería calibre/ref 4,Tornillería,unidad,13527,PROV-07,10,100,500
MP-0197,Tornillería calibre/ref 25,tornilleria,unidad,3935,PROV-06,7,100,500
MP-0134,Correderas calibre/ref 36,Correderas,par,64521,PROV-25,12,100,500
MP-0198,Pintura calibre/ref 7,Pintura,kg,13940,PROV-26,17,100,500
MP-0077,Tubería calibre/ref 26,TUBERIA,m,66191,PROV-34,17,100,500
MP-0112,Adhesivos calibre/ref 5,Adhesivos,kg,23398,PROV-20,11,100,500
MP-0024,Vidrio calibre/ref 33,vidrio,m2,223650,PROV-31,20,100,500
MP-0296,Adhesivos calibre/ref 1,Adhesivos,kg,10190,PROV-11,10,100,500
MP-0010,Pintura calibre/ref 33,PINTURA,kg,244981,PROV-24,20,100,500
