fecha,sku,tipo_movimiento,cantidad,documento,bodega,responsable
2024-07-01,MP-0019,salida,57.2,CONS-101376,BOD-02,OP-03
2024-07-01,MP-0022,salida,69.8,CONS-101383,BOD-03,OP-03
2024-07-01,MP-0094,salida,27.1,CONS-101390,BOD-02,OP-06
2024-07-01,MP-0074,salida,28.1,CONS-101397,BOD-03,OP-03
2024-07-01,MP-0370,salida,9.1,CONS-101404,BOD-01,OP-02
2024-07-01,MP-0299,salida,35.2,CONS-101411,BOD-03,OP-04
2024-07-01,MP-0309,salida,31.9,CONS-101418,BOD-03,OP-02
2024-07-01,MP-0418,salida,29.6,CONS-101425,BOD-02,OP-04
2024-07-01,MP-0008,salida,122.8,CONS-101432,BOD-03,OP-06
2024-07-01,MP-0005,salida,95.7,CONS-101439,BOD-02,OP-05
2024-07-01,MP-0133,salida,130.9,CONS-101446,BOD-02,OP-01
2024-07-01,MP-0101,salida,115.0,CONS-101453,BOD-03,OP-05
2024-07-01,MP-0149,salida,135.7,CONS-101460,BOD-01,OP-05
2024-07-01,MP-0254,salida,135.4,CONS-101474,BOD-03,OP-02
2024-07-01,MP-0161,salida,50.5,CONS-101481,BOD-03,OP-01
2024-07-01,MP-0197,salida,122.5,CONS-101488,BOD-03,OP-03
2024-07-01,MP-0037,salida,69.0,CONS-101495,BOD-03,OP-02
2024-07-01,MP-0018,salida,11.5,CONS-101502,BOD-02,OP-02
2024-07-01,MP-0073,salida,83.3,CONS-101516,BOD-03,OP-05
2024-07-01,MP-0199,salida,70.9,CONS-101530,BOD-02,OP-03
2024-07-01,MP-0232,salida,63.4,CONS-101537,BOD-01,OP-01
2024-07-01,MP-0027,salida,9.6,CONS-101544,BOD-03,OP-06
2024-07-01,MP-0116,salida,28.9,CONS-101551,BOD-03,OP-04
2024-07-01,MP-0108,salida,51.8,CONS-101558,BOD-02,OP-03
2024-07-01,MP-0239,salida,24.1,CONS-101572,BOD-01,OP-01
2024-07-01,MP-0016,salida,77.7,CONS-101579,BOD-01,OP-02
2024-07-01,MP-0030,salida,7.3,CONS-101586,BOD-03,OP-03
2024-07-01,MP-0120,salida,34.9,CONS-101593,BOD-03,OP-05
2024-07-01,MP-0043,salida,-20.2,CONS-101600,BOD-02,OP-06
2024-07-01,MP-0182,salida,43.5,CONS-101607,BOD-01,OP-06
2024-07-01,MP-0369,salida,40.6,CONS-101614,BOD-01,OP-03
