orden_compra,fecha_pedido,sku,cantidad,proveedor,fecha_promesa,fecha_recepcion,costo_unitario
OC-5493,2024-09-16,MP-0033,2131,PROV-15,2024-10-02,2024-10-29,157770
OC-5411,2026-02-13,MP-0030,2074,PROV-27,2026-03-01,2026-03-03,284982
OC-6153,2025-08-09,MP-0145,263,PROV-30,2025-08-16,2025-08-23,22774
OC-5769,2025-09-04,MP-0074,272,PROV-01,2025-09-10,2025-09-15,57757
OC-6017,2026-01-12,MP-0121,437,PROV-16,2026-01-21,2026-01-24,50877
OC-5613,2025-11-26,MP-0044,464,PROV-06,2025-12-01,2035-12-06,64011
OC-6011,2025-02-16,MP-0120,376,PROV-01,2025-03-02,2025-03-10,57256
OC-5138,2024-08-06,MP-0011,2095,PROV-17,2024-08-26,2024-09-08,356026
OC-6332,2025-02-27,MP-0287,62,PROV-07,2025-03-09,2025-03-26,13398
OC-6318,2025-05-12,MP-0274,30,PROV-22,2025-05-20,2025-05-22,8520
OC-6119,2025-03-27,MP-0138,241,PROV-21,2025-04-05,2025-04-16,68215
OC-5351,2026-03-04,MP-0025,698,PROV-24,2026-03-23,2026-04-19,216530
OC-5198,2024-11-27,MP-0015,609,PROV-03,2024-12-12,2024-12-25,151416
OC-6363,2026-05-13,MP-0316,15,PROV-07,2026-05-24,2026-06-12,10502
OC-5384,2026-05-10,MP-0028,860,PROV-06,2026-05-29,2026-06-16,367530
OC-6131,2025-10-03,MP-0140,157,PROV-20,2025-10-12,2025-10-29,69076
OC-5893,2025-11-08,MP-0097,208,PROV-30,2025-11-18,2025-11-18,56581
OC-5927,2025-06-12,MP-0102,157,PROV-34,2025-06-21,2025-07-05,15942
OC-5409,2025-10-07,MP-0030,1311,PROV-27,2025-10-23,2025-11-06,284982
OC-6009,2024-11-08,MP-0120,381,PROV-01,2024-11-22,2024-11-30,57256
OC-5258,2025-03-06,MP-0018,1755,PROV-07,2025-03-17,2025-04-06,91904
OC-5784,2026-06-04,MP-0077,431,PROV-34,2026-06-21,2026-07-01,66191
OC-5037,2026-05-13,MP-0004,893,PROV-20,2026-05-25,2026-06-03,385136
OC-5267,2025-07-10,MP-0019,652,PROV-31,2025-07-27,2025-08-20,81958
OC-5264,2024-08-10,MP-0019,419,PROV-31,2024-08-27,2024-09-05,81958
OC-5069,2025-04-07,MP-0005,1265,PROV-15,2025-04-21,2025-04-30,141286
OC-5319,2025-12-20,MP-0023,1831,PROV-26,2026-01-05,,120113
OC-5897,2025-02-16,MP-0098,277,PROV-18,2025-02-21,,16242
OC-6460,2025-07-27,MP-0409,88,PROV-26,2025-08-02,2025-08-08,13425
OC-5550,2026-01-13,MP-0037,602,PROV-34,2026-01-26,2026-02-11,101283
OC-6164,2026-01-05,MP-0146,312,PROV-33,2026-01-11,2026-01-18,31220
OC-5861,2025-06-07,MP-0091,217,PROV-11,2025-06-18,2025-06-23,75896
OC-5948,2025-06-05,MP-0106,290,PROV-24,2025-06-15,2025-06-21,22268
OC-5867,2024-08-02,MP-0092,240,PROV-11,2024-08-13,2024-09-06,22184
OC-6079,2025-12-12,MP-0131,278,PROV-35,2025-12-21,2026-01-03,37576
OC-5870,2026-05-02,MP-0093,362,PROV-20,2026-05-09,2026-05-14,67888
OC-5545,2024-08-25,MP-0037,792,PROV-34,2024-09-07,2024-09-23,101283
OC-5947,2024-08-25,MP-0106,347,PROV-24,2024-09-04,2024-09-09,22268
OC-5158,2025-01-08,MP-0012,765,PROV-29,2025-01-22,2025-02-15,260365
OC-5670,2025-04-14,MP-0054,221,PROV-35,2025-04-20,2025-05-06,52942
OC-6463,2025-12-08,MP-0412,13,PROV-28,2025-12-18,2025-12-19,1187
OC-5546,2025-11-14,MP-0037,670,PROV-34,2025-11-27,2025-12-04,101283
OC-5751,2024-10-31,MP-0070,217,PROV-16,2024-11-09,2024-11-25,57954
OC-6043,2025-11-13,MP-0126,347,PROV-23,2025-11-26,2025-12-15,42475
OC-5139,2025-09-01,MP-0011,2075,PROV-17,2025-09-21,2025-10-05,356026
OC-5684,2025-03-05,MP-0057,341,PROV-02,2025-03-13,2025-03-21,65040
OC-5021,2025-02-25,MP-0002,1432,PROV-02,2025-03-20,2025-04-03,98702
OC-5978,2025-04-14,MP-0113,157,PROV-11,2025-04-21,2025-05-01,60878
OC-5780,2026-06-06,MP-0077,557,PROV-34,2026-06-23,2026-07-03,66191
OC-5970,2026-02-24,MP-0110,223,PROV-26,2026-03-04,2026-03-02,70066
OC-5330,2026-01-25,MP-0023,1791,PROV-26,2026-02-10,2026-03-07,120113
OC-5061,2025-12-07,MP-0005,1064,PROV-15,2025-12-21,2026-01-04,141286
OC-5010,2025-10-01,MP-0002,1303,PROV-02,2025-10-24,,98702
OC-5268,2025-07-14,MP-0019,396,PROV-31,2025-07-31,2025-08-17,81958
OC-5122,2024-08-04,MP-0010,1685,PROV-24,2024-08-24,2024-08-19,244981
OC-5636,2026-03-09,MP-0048,236,PROV-07,2026-03-17,2026-03-22,15566
OC-6026,2025-07-07,MP-0123,425,PROV-26,2025-07-22,2025-08-02,29806
OC-5812,2025-02-02,MP-0084,272,PROV-34,2025-02-09,2025-02-19,26907
OC-5814,2025-09-24,MP-0084,473,PROV-34,2025-10-01,2025-10-03,26907
OC-5088,2026-02-24,MP-0008,765,PROV-20,2026-03-16,2026-03-15,310890
OC-5306,2025-07-03,MP-0022,994,PROV-07,2025-07-16,2025-07-19,173118
OC-5826,2025-08-08,MP-0087,338,PROV-23,2025-08-16,2025-08-21,77924
OC-6160,2026-06-23,MP-0146,288,PROV-33,2026-06-29,2026-07-02,31220
OC-6023,2024-08-28,MP-0122,74,PROV-14,2024-09-02,,31481
OC-5349,2025-11-08,MP-0024,1329,PROV-31,2025-11-28,2025-12-08,223650
OC-5316,2024-09-21,MP-0023,1450,PROV-26,2024-10-07,2024-10-18,120113
OC-6272,2025-09-05,MP-0229,76,PROV-03,2025-09-17,2025-09-21,7426
OC-5183,2025-09-11,MP-0014,1000,PROV-26,2025-09-20,2025-09-26,234603
OC-6403,2025-08-29,MP-0354,14,PROV-15,2025-09-03,2025-09-06,11160
OC-6290,2025-07-30,MP-0247,36,PROV-27,2025-08-09,2025-08-31,3903
OC-5047,2025-04-11,MP-0004,954,PROV-20,2025-04-23,2025-04-30,385136
OC-6132,2025-10-22,MP-0140,109,PROV-20,2025-10-31,2025-11-02,69076
OC-6245,2026-03-30,MP-0203,95,PROV-19,2026-04-13,2026-04-16,13450
OC-6074,2025-08-25,MP-0130,441,PROV-11,2025-09-04,2025-09-09,74019
OC-5966,2025-03-24,MP-0110,219,PROV-26,2025-04-01,2025-04-09,70066
OC-5534,2025-12-14,MP-0036,355,PROV-32,2025-12-25,2025-12-31,339654
